#Datasets	 Sample01	 Sample02	 Sample03	 Sample04
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Alginate biosynthesis;"	 26	 25	 23	 31
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Colanic acid synthesis;"	 8	 13	 5	 3
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;dTDP-rhamnose synthesis;"	 411	 709	 857	 398
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;dTDP-rhamnose synthesis -- gjo;"	 1305	 1919	 1971	 1063
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Extracellular matrix proteins (PEL) involved in glucose-rich biofilm formation in Pseudomonas;"	 2	 1	 1	 1
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Extracellular matrix proteins (PSL) involved in mannose-rich biofilm formation in Pseudomonas;"	 3	 2	 2	 1
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Hyaluronic Acid-containing Cell Walls;"	 2	 0	 0	 2
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Lipid-linked oligosaccharide synthesis related cluster;"	 61	 39	 53	 99
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;O-methyl phosphoramidate modification in capsular polysaccharide;"	 5	 2	 3	 6
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Protein-O-mannosyltransferase and 16S rRNA (cytidine(1402)-2'-O)-methyltransferase cluster;"	 62	 23	 46	 109
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Rcs two-component regulator of capsule synthesis;"	 0	 0	 0	 3
"SEED-2021;Cell Envelope;Cell Envelope, Capsule and Slime layer;Capsule and Slime layer;Streptococcal Hyaluronic Acid Capsule;"	 68	 97	 88	 69
