#Datasets	Sample01	Sample02	Sample03	Sample04
"NCBI;"	1759.0	2153.0	1894.0	1695.0
"NCBI;cellular organisms;"	20184.0	54950.0	53762.0	17824.0
"NCBI;cellular organisms;Bacteria;"	282069.0	374236.0	362647.0	239235.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;"	67601.0	24199.0	11247.0	49018.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;"	3046.0	2660.0	923.0	3349.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;"	5509.0	993.0	1655.0	4446.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;"	23034.0	1593.0	0.0	17521.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Sulfotelmatobacter;"	2075.0	1348.0	0.0	1724.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Edaphobacter;"	1736.0	0.0	0.0	3976.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;"	5385.0	0.0	0.0	3622.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;"	404.0	228.0	124.0	458.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;"	1374.0	1094.0	571.0	1915.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Solibacter;"	1567.0	1649.0	0.0	2903.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Sulfopaludibacter;"	4347.0	2662.0	1015.0	4813.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;unclassified Acidobacteriia;"	1696.0	0.0	0.0	1371.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;"	94177.0	52493.0	33082.0	60580.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;"	1352.0	5708.0	6165.0	1823.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division KSB1;"	0.0	1814.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division NC10;"	0.0	162.0	158.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division NC10;unclassified candidate division NC10;"	0.0	1619.0	1040.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Aminicenantes;"	0.0	743.0	645.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Aminicenantes;unclassified Aminicenantes;"	0.0	5966.0	8619.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Eisenbacteria;"	0.0	1820.0	2398.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rokubacteria;"	1957.0	1291.0	1221.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;"	0.0	677.0	492.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;"	0.0	2940.0	2338.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;"	0.0	3384.0	2653.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;"	0.0	69.0	46.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales;Candidatus Cryosericaceae;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales;Candidatus Cryosericaceae;Candidatus Cryosericum;"	0.0	5520.0	2177.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;Chrysiogenetes;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;Chrysiogenetes;Chrysiogenales;"	0.0	0.0	1.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;Chrysiogenetes;Chrysiogenales;unclassified Chrysiogenales;"	0.0	0.0	1379.0	0.0
"NCBI;cellular organisms;Bacteria;Elusimicrobia;"	0.0	43.0	17.0	0.0
"NCBI;cellular organisms;Bacteria;Elusimicrobia;unclassified Elusimicrobia;"	0.0	1567.0	1268.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;"	292.0	3296.0	3359.0	182.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;"	397.0	3654.0	3345.0	300.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;"	8324.0	18968.0	29928.0	10365.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;"	0.0	1143.0	527.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;Bacteroidales;"	0.0	1466.0	2007.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;Marinilabiliales;"	0.0	0.0	1271.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;unclassified Bacteroidia;"	0.0	0.0	1181.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Chitinophagia;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Chitinophagia;Chitinophagales;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;"	1059.0	0.0	0.0	1387.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;"	0.0	0.0	25.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;"	0.0	0.0	1087.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;"	8.0	0.0	0.0	6.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;"	701.0	0.0	0.0	1012.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;"	559.0	0.0	0.0	1320.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;"	1172.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;unclassified Bacteroidetes;"	0.0	14572.0	28967.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;"	0.0	928.0	530.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;Ignavibacteria;"	0.0	695.0	573.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;Ignavibacteria;unclassified Ignavibacteria;"	0.0	1473.0	1046.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;unclassified Ignavibacteriae;"	0.0	2747.0	1139.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;"	1403.0	1619.0	973.0	1419.0
"NCBI;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;unclassified Gemmatimonadetes;"	2216.0	3373.0	1196.0	0.0
"NCBI;cellular organisms;Bacteria;Nitrospirae;"	0.0	1295.0	2532.0	0.0
"NCBI;cellular organisms;Bacteria;Nitrospirae;Nitrospira <class>;"	0.0	1276.0	1122.0	0.0
"NCBI;cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae;"	0.0	5619.0	2628.0	0.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;"	66878.0	19522.0	16658.0	75299.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;"	76889.0	6580.0	7162.0	117153.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;"	540.0	0.0	0.0	568.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;"	2359.0	0.0	0.0	2669.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Micropepsales;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium;"	0.0	0.0	1284.0	0.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;"	22933.0	3901.0	4769.0	32391.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;"	1397.0	0.0	0.0	952.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocapsa;"	1688.0	0.0	0.0	1474.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;unclassified Beijerinckiaceae;"	0.0	0.0	0.0	1598.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;"	14071.0	1299.0	0.0	15728.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;"	20069.0	0.0	0.0	26213.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;"	2043.0	0.0	0.0	1489.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;"	0.0	0.0	0.0	1462.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;"	149.0	0.0	0.0	243.0
"NCBI;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;"	1134.0	0.0	0.0	1556.0
