#Datasets	Sample01	Sample02	Sample03	Sample04
"NCBI;"	1759.0	2153.0	1894.0	1695.0
"NCBI;cellular organisms;"	20184.0	54950.0	53762.0	17824.0
"NCBI;cellular organisms;Bacteria;"	282069.0	374236.0	362647.0	239235.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;"	67601.0	24199.0	11247.0	49018.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;"	3046.0	2660.0	923.0	3349.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;"	5509.0	993.0	1655.0	4446.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;"	23034.0	1593.0	0.0	17521.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Sulfotelmatobacter;"	59.0	1348.0	0.0	1724.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Sulfotelmatobacter;Candidatus Sulfotelmatobacter kueseliae;"	1015.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Sulfotelmatobacter;unclassified Candidatus Sulfotelmatobacter;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Sulfotelmatobacter;unclassified Candidatus Sulfotelmatobacter;Candidatus Sulfotelmatobacter sp. SbA7;"	1001.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Edaphobacter;"	1736.0	0.0	0.0	912.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Edaphobacter;Edaphobacter aggregans;"	0.0	0.0	0.0	3064.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;"	2376.0	0.0	0.0	1389.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;unclassified Granulicella;"	3009.0	0.0	0.0	2233.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;"	404.0	228.0	124.0	458.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;"	1374.0	1094.0	571.0	1915.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Solibacter;"	0.0	2.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus;"	1567.0	1647.0	0.0	2903.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Sulfopaludibacter;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Sulfopaludibacter;unclassified Candidatus Sulfopaludibacter;"	1484.0	1640.0	1015.0	1595.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Sulfopaludibacter;unclassified Candidatus Sulfopaludibacter;Candidatus Sulfopaludibacter sp. SbA3;"	1029.0	0.0	0.0	1331.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;Solibacteraceae;Candidatus Sulfopaludibacter;unclassified Candidatus Sulfopaludibacter;Candidatus Sulfopaludibacter sp. SbA4;"	1834.0	1022.0	0.0	1887.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;unclassified Acidobacteriia;"	516.0	0.0	0.0	1371.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;unclassified Acidobacteriia;Acidobacteriia bacterium;"	1180.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;"	28983.0	15658.0	10649.0	18837.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;Acidobacteria bacterium;"	65194.0	35579.0	22433.0	41743.0
"NCBI;cellular organisms;Bacteria;Acidobacteria;unclassified Acidobacteria;Acidobacteria bacterium RBG_13_68_16;"	0.0	1256.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;"	1352.0	5708.0	6165.0	1823.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division KSB1;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division KSB1;unclassified candidate division KSB1;"	0.0	67.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division KSB1;unclassified candidate division KSB1;candidate division KSB1 bacterium;"	0.0	1747.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division NC10;"	0.0	162.0	158.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;candidate division NC10;unclassified candidate division NC10;"	0.0	1619.0	1040.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Aminicenantes;"	0.0	743.0	645.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Aminicenantes;unclassified Aminicenantes;"	0.0	5966.0	8619.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Eisenbacteria;"	0.0	814.0	1099.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Eisenbacteria;Candidatus Eisenbacteria bacterium;"	0.0	1006.0	1299.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rokubacteria;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rokubacteria;unclassified Candidatus Rokubacteria;"	795.0	1291.0	1221.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rokubacteria;unclassified Candidatus Rokubacteria;Candidatus Rokubacteria bacterium;"	1162.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;"	0.0	677.0	492.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;"	0.0	2940.0	2338.0	0.0
"NCBI;cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;"	0.0	3384.0	2653.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;"	0.0	69.0	46.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales;Candidatus Cryosericaceae;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Caldiserica/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales;Candidatus Cryosericaceae;Candidatus Cryosericum;"	0.0	5520.0	2177.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;Chrysiogenetes;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;Chrysiogenetes;Chrysiogenales;"	0.0	0.0	1.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;Chrysiogenetes;Chrysiogenales;unclassified Chrysiogenales;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;Chrysiogenetes <phylum>;Chrysiogenetes;Chrysiogenales;unclassified Chrysiogenales;Chrysiogenales bacterium;"	0.0	0.0	1379.0	0.0
"NCBI;cellular organisms;Bacteria;Elusimicrobia;"	0.0	43.0	17.0	0.0
"NCBI;cellular organisms;Bacteria;Elusimicrobia;unclassified Elusimicrobia;"	0.0	1567.0	1268.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;"	292.0	3296.0	3359.0	182.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;"	397.0	3654.0	3345.0	300.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;"	8324.0	18968.0	29928.0	10365.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;"	0.0	1143.0	527.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;Bacteroidales;"	0.0	1466.0	2007.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;Marinilabiliales;"	0.0	0.0	1271.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;unclassified Bacteroidia;"	0.0	0.0	10.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;unclassified Bacteroidia;Bacteroidia bacterium;"	0.0	0.0	1171.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Chitinophagia;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Chitinophagia;Chitinophagales;"	0.0	0.0	0.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;"	1059.0	0.0	0.0	1387.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;"	0.0	0.0	25.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;"	0.0	0.0	1087.0	0.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;"	8.0	0.0	0.0	6.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;"	701.0	0.0	0.0	1012.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;"	559.0	0.0	0.0	1320.0
"NCBI;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;"	1172.0	0.0	0.0	0.0
