Taxa	Sample01	Sample02	Sample03	Sample04
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;Unclassified Caldisphaera	0	1	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium sp. AL-21	0	0	1	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Unclassified Methanobacterium	0	4	5	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Unclassified Methanobacteriaceae;	0	1	1	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Unclassified Methanobacteriales;;	0	0	1	0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Unclassified Methanococcales;;	0	0	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Family Incertae Sedis;Methanocalculus;Unclassified Methanocalculus	0	0	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Unclassified Methanomicrobiaceae;	0	1	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea;Methanolinea tarda NOBI-1	0	1	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;Unclassified Methanoregula	0	4	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Unclassified Methanoregulaceae;	0	3	5	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Rice Cluster II;Methanosarcina;Methanosarcina sp.	0	13	8	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Rice Cluster II;Methanosarcina;Unclassified Methanosarcina	0	5	2	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Unclassified Methanomicrobiales;;	0	2	3	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Methanosaeta concilii GP6	0	0	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Unclassified Methanosaeta	0	17	6	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;toluene-degrading methanogenic consortium archaeon	0	1	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Unclassified Methanosaetaceae;	0	2	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Unclassified Methanosarcina	0	0	2	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Unclassified Methanosarcinales;;	0	3	1	0
Archaea;Euryarchaeota;Methanomicrobia;Unclassified Methanomicrobia;;;	0	4	6	0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Unclassified Thermoplasmatales;;	0	4	1	0
Archaea;Euryarchaeota;Unclassified Euryarchaeota;;;;	0	3	1	0
Archaea;Thaumarchaeota;Unclassified Thaumarchaeota;;;;	0	0	0	1
Archaea;Unclassified Archaea;;;;;	0	4	5	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacteria bacterium CU2	0	1	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Unclassified Acidobacterium	9	0	0	7
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;Acidobacteria bacterium YJF2-13	1	0	0	1
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;Candidatus Koribacter versatilis Ellin345	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;Unclassified Candidatus Koribacter	1	2	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella pectinivorans	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella tundricola	0	0	0	1
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella;Unclassified Granulicella	3	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Telmatobacter;Acidobacteriaceae bacterium 277	0	0	1	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Terriglobus;Acidobacteria bacterium KMR	0	0	0	1
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Unclassified Acidobacteriaceae;	45	16	4	21
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;Unclassified Candidatus Solibacter;;	4	7	0	7
Bacteria;Acidobacteria;Acidobacteria;DA023;Unclassified DA023;;	2	11	10	4
Bacteria;Acidobacteria;Acidobacteria;DA052;bacterium Ellin7505;Unclassified bacterium Ellin7505;	3	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Bryobacter;Acidobacteria bacterium IGE-015	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Bryobacter;Bryobacter aggregatus	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;;;	25	18	9	26
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;Geothrix fermentans	0	2	0	0
Bacteria;Acidobacteria;Unclassified Acidobacteria;;;;	2	2	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Unclassified Acidimicrobium	0	0	1	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix;Unclassified Ferrithrix	0	1	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Unclassified Acidimicrobiaceae;	0	0	0	2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;Aciditerrimonas;Unclassified Aciditerrimonas	0	1	0	1
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;actinobacterium;Unclassified actinobacterium	0	0	0	1
