Taxa	Sample01	Sample02	Sample03	Sample04
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera	0	1	0	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium	0	4	6	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Unclassified Methanobacteriaceae	0	1	1	0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Unclassified Methanobacteriales;	0	0	1	0
Archaea;Euryarchaeota;Methanococci;Methanococcales;Unclassified Methanococcales;	0	0	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Family Incertae Sedis;Methanocalculus	0	0	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Unclassified Methanomicrobiaceae	0	1	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea	0	1	1	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula	0	4	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Unclassified Methanoregulaceae	0	3	5	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Rice Cluster II;Methanosarcina	0	18	10	0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Unclassified Methanomicrobiales;	0	2	3	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta	0	18	7	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Unclassified Methanosaetaceae	0	2	0	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina	0	0	2	0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Unclassified Methanosarcinales;	0	3	1	0
Archaea;Euryarchaeota;Methanomicrobia;Unclassified Methanomicrobia;;	0	4	6	0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Unclassified Thermoplasmatales;	0	4	1	0
Archaea;Euryarchaeota;Unclassified Euryarchaeota;;;	0	3	1	0
Archaea;Thaumarchaeota;Unclassified Thaumarchaeota;;;	0	0	0	1
Archaea;Unclassified Archaea;;;;	0	4	5	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium	9	1	0	7
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter	3	2	0	1
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella	4	0	0	1
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Telmatobacter	0	0	1	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Terriglobus	0	0	0	1
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Unclassified Acidobacteriaceae	45	16	4	21
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;Unclassified Candidatus Solibacter;	4	7	0	7
Bacteria;Acidobacteria;Acidobacteria;DA023;Unclassified DA023;	2	11	10	4
Bacteria;Acidobacteria;Acidobacteria;DA052;bacterium Ellin7505;Unclassified bacterium Ellin7505	3	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Bryobacter	2	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;;	25	18	9	26
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix	0	2	0	0
Bacteria;Acidobacteria;Unclassified Acidobacteria;;;	2	2	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium	0	0	1	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix	0	1	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Unclassified Acidimicrobiaceae	0	0	0	2
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;Aciditerrimonas	0	1	0	1
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;actinobacterium	2	0	0	3
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Unclassified Acidimicrobiales;	12	1	1	16
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Unclassified Bifidobacteriaceae	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica	2	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	0	0	0	3
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Unclassified Mycobacteriaceae	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia	0	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Unclassified Nocardiaceae	1	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Unclassified Corynebacteriales;	0	0	1	2
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus	2	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia	1	0	2	1
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Unclassified Frankiales;	1	1	1	1
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Unclassified Kineosporiaceae	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae;Unclassified Cellulomonadaceae	1	0	1	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Unclassified Intrasporangiaceae	0	1	2	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Clavibacter	1	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter	0	1	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Unclassified Microbacteriaceae	0	2	4	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Unclassified Micrococcaceae	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;Promicromonospora	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Unclassified Micrococcales;	0	4	8	1
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	1	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Unclassified Micromonosporaceae	2	1	0	5
